time	A	E	AE	
5.35	0.830200063046	2.50887382707	0.491126172933	
5.4	0.825275657304	2.51210891636	0.487891083639	
5.45	0.820515631401	2.51525275611	0.484747243893	
5.5	0.815914576768	2.51830738594	0.481692614058	
5.55	0.811467081457	2.52127484562	0.478725154375	
5.6	0.807167797554	2.52415716823	0.475842831765	
5.65	0.80301264887	2.52695625423	0.473043745773	
5.7	0.798997268509	2.52967403437	0.470325965627	
5.75	0.7951169221	2.53231247777	0.467687522233	
5.8	0.791366875272	2.53487355351	0.465126446493	
5.85	0.787742693869	2.53735918025	0.462640819754	
5.9	0.784241054307	2.53977109006	0.460228909943	
5.95	0.780857931437	2.54211113288	0.457888867121	
6.0	0.777589203524	2.54438117488	0.455618825122	
6.05	0.774430748834	2.54658308222	0.453416917778	
6.1	0.771379120626	2.54871856764	0.451281432359	
6.15	0.768431326505	2.55078924058	0.449210759416	
6.2	0.765583793779	2.55279684241	0.447203157587	
6.25	0.762832948925	2.55474311468	0.445256885322	
6.3	0.760175255471	2.55662978766	0.443370212338	
6.35	0.757607850185	2.55845838695	0.441541613047	
6.4	0.755127871789	2.56023043754	0.439769562456	
6.45	0.752732408753	2.56194747971	0.438052520294	
6.5	0.750418651956	2.56361102257	0.436388977426	
6.55	0.748183894694	2.56522254414	0.434777455858	
6.6	0.746025532671	2.56678349127	0.433216508731	
6.65	0.743941055542	2.56829528259	0.431704717405	
6.7	0.741927896374	2.56975936054	0.430240639461	
6.75	0.739983616152	2.57117712757	0.428822872426	
6.8	0.738105907448	2.57254994496	0.427450055044	
6.85	0.736292551182	2.57387914766	0.42612085234	
6.9	0.734541416627	2.57516604438	0.424833955619	
6.95	0.732850461404	2.57641191753	0.42358808247	
7.0	0.731217722121	2.57761801834	0.422381981659	
7.05	0.729641130654	2.57878547075	0.421214529248	
7.1	0.72811874012	2.57991538963	0.42008461037	
7.15	0.726648733815	2.58100888544	0.418991114558	
7.2	0.725229368856	2.58206703477	0.41793296523	
7.25	0.723858976178	2.58309088032	0.416909119684	
7.3	0.722535960537	2.5840814309	0.415918569103	
7.35	0.721258788134	2.58503966283	0.414960337169	
7.4	0.720025714216	2.58596655034	0.414033449661	
7.45	0.71883510935	2.58686302913	0.413136970873	
7.5	0.717685483685	2.58772999368	0.412270006322	
7.55	0.716575399548	2.58856830701	0.411431692993	
7.6	0.715503471449	2.58937880066	0.410621199336	
7.65	0.714468366074	2.59016227473	0.409837725271	
7.7	0.713468804903	2.59091950657	0.409080493429	
7.75	0.712503629051	2.59165146838	0.408348531619	
7.8	0.71157172372	2.59235907373	0.407640926273	
7.85	0.710672009704	2.59304314907	0.406956850935	
7.9	0.709803465157	2.59370450676	0.406295493236	
7.95	0.708965125596	2.59434394511	0.405656054892	
8.0	0.7081560839	2.59496224829	0.405037751707	
8.05	0.707375477977	2.59556018116	0.404439818843	
8.1	0.706622142503	2.59613834021	0.403861659793	
8.15	0.705895003061	2.59669732222	0.403302677783	
8.2	0.705193136953	2.59723775023	0.40276224977	
8.25	0.704515650815	2.59776022122	0.402239778779	
8.3	0.703861680625	2.59826530609	0.401734693914	
8.35	0.703230391697	2.59875354965	0.401246450346	
8.4	0.702620978776	2.59922547041	0.400774529586	
8.45	0.702032669037	2.59968155207	0.400318447928	
8.5	0.701464718796	2.60012225282	0.399877747179	
8.55	0.700916412843	2.60054800721	0.39945199279	
8.6	0.700387065552	2.60095922302	0.399040776975	
8.65	0.699876020878	2.6013562813	0.398643718705	
8.7	0.699382652356	2.60173953629	0.398260463709	
8.75	0.698906362924	2.60210932636	0.397890673643	
8.8	0.698446578139	2.60246637963	0.397533620367	
8.85	0.698002753385	2.60281138296	0.397188617037	
8.9	0.697574375684	2.60314487321	0.396855126787	
8.95	0.697160926704	2.60346726528	0.396532734715	
9.0	0.696761821195	2.60377862213	0.396221377875	
9.05	0.696376529926	2.60407911401	0.395920885988	
9.1	0.696004543101	2.60436889223	0.395631107768	
9.15	0.695645452935	2.60464859949	0.395351400515	
9.2	0.695298883886	2.60491894473	0.395081055267	
9.25	0.694964477272	2.60518060944	0.394819390555	
9.3	0.694641832716	2.60543399325	0.394566006746	
9.35	0.694330428861	2.605678837	0.394321162997	
9.4	0.694029806583	2.60591509376	0.394084906239	
9.45	0.693739515754	2.60614267896	0.393857321044	
9.5	0.693459271737	2.60636224905	0.393637750948	
9.55	0.693188797981	2.60657441876	0.393425581236	
9.6	0.69292782719	2.60677976683	0.393220233169	
9.65	0.692676029056	2.60697852248	0.39302147752	
9.7	0.692432977428	2.60717041774	0.392829582259	
9.75	0.692198302447	2.60735537184	0.392644628156	
9.8	0.691971650213	2.60753331733	0.392466682671	
9.85	0.691752835632	2.60770493649	0.392295063514	
9.9	0.691541664132	2.60787080241	0.392129197592	
9.95	0.691337956646	2.60803149947	0.391968500529	
10.0	0.691141434034	2.60818711442	0.39181288558	
10.05	0.69095174005	2.60833733873	0.391662661271	
10.1	0.690768565912	2.60848202376	0.391517976237	
10.15	0.690591627267	2.6086210873	0.391378912699	
10.2	0.690420813612	2.60875521627	0.39124478373	
10.25	0.690255986156	2.60888491606	0.391115083937	
10.3	0.69009702234	2.60901072055	0.390989279451	
10.35	0.689943674785	2.6091325683	0.390867431698	
10.4	0.689795648241	2.60925014455	0.390749855449	
10.45	0.689652681645	2.60936324583	0.390636754168	
10.5	0.689514545374	2.60947177769	0.390528222307	
10.55	0.689381154753	2.60957628327	0.390423716732	
10.6	0.689252388294	2.60967709686	0.390322903137	
10.65	0.689128138483	2.60977458145	0.390225418551	
10.7	0.689008229928	2.6098687729	0.390131227097	
10.75	0.688892484225	2.60995966331	0.39004033669	
10.8	0.688780743089	2.61004730198	0.389952698025	
10.85	0.688672869667	2.61013180895	0.389868191052	
10.9	0.688568778423	2.61021351617	0.389786483831	
10.95	0.688468374534	2.61029268125	0.389707318747	
11.0	0.688371569633	2.61036955751	0.389630442492	
11.05	0.688278206993	2.6104440142	0.389555985802	
11.1	0.688188132267	2.61051597692	0.389484023076	
11.15	0.688101203477	2.61058544499	0.389414555012	
11.2	0.688017278647	2.61065241769	0.389347582308	
11.25	0.687936215799	2.61071689434	0.38928310566	
11.3	0.687857911021	2.61077894291	0.389221057089	
11.35	0.687782330719	2.61083875826	0.389161241736	
11.4	0.687709377778	2.61089642064	0.389103579359	
11.45	0.687638952109	2.61095200493	0.389047995075	
11.5	0.687570953626	2.611005586	0.388994414001	
11.55	0.687505283504	2.61105723963	0.388942760373	
11.6	0.687441898132	2.6111070801	0.388892919903	
11.65	0.687380747487	2.61115521722	0.388844782778	
11.7	0.687321758594	2.6112017448	0.388798255198	
11.75	0.687264858479	2.61124675664	0.388753243362	
11.8	0.687209974165	2.61129034653	0.388709653472	
11.85	0.687157034375	2.61133258026	0.388667419735	
11.9	0.687105974737	2.61137340952	0.388626590477	
11.95	0.687056726261	2.61141286226	0.388587137741	
12.0	0.687009219231	2.61145097846	0.388549021539	
12.05	0.686963383929	2.61148779812	0.388512201882	
12.1	0.686919150638	2.61152336122	0.388476638781	
12.15	0.68687644964	2.61155770775	0.388442292247	
12.2	0.686835211218	2.61159087771	0.388409122292	
12.25	0.686795365654	2.61162291107	0.388377088927	
12.3	0.686756852537	2.61165384288	0.388346157121	
12.35	0.686719691103	2.61168366571	0.388316334287	
12.4	0.686683852364	2.61171239786	0.388287602137	
12.45	0.686649289763	2.61174006697	0.388259933027	
12.5	0.686615956744	2.61176670069	0.388233299306	
12.55	0.686583806749	2.61179232667	0.38820767333	
12.6	0.686552793223	2.61181697255	0.388183027449	
12.65	0.686522869607	2.61184066598	0.388159334018	
12.7	0.686493989346	2.61186343461	0.388136565388	
12.75	0.686466106995	2.61188530848	0.388114691525	
12.8	0.686439205648	2.6119063788	0.388093621203	
12.85	0.686413258382	2.61192671532	0.388073284676	
12.9	0.686388227293	2.61194636426	0.388053635738	
12.95	0.686364074478	2.61196537181	0.388034628185	
13.0	0.686340762035	2.61198378419	0.388016215815	
13.05	0.686318252062	2.61200164758	0.387998352421	
13.1	0.686296506654	2.6120190082	0.387980991802	
13.15	0.686275487909	2.61203591225	0.387964087751	
13.2	0.686255158018	2.61205240563	0.387947594367	
13.25	0.686235512709	2.61206842579	0.387931574215	
13.3	0.686216549686	2.61208390376	0.387916096239	
13.35	0.686198243325	2.61209884605	0.387901153947	
13.4	0.686180568003	2.61211325915	0.387886740848	
13.45	0.686163498096	2.61212714955	0.387872850451	
13.5	0.686147007981	2.61214052374	0.387859476263	
13.55	0.686131072034	2.61215338821	0.387846611794	
13.6	0.686115664633	2.61216574945	0.387834250553	
13.65	0.686100760153	2.61217761395	0.387822386046	
13.7	0.686086352862	2.61218901041	0.387810989594	
13.75	0.686072454474	2.61219998695	0.387800013045	
13.8	0.686059050239	2.61221056222	0.387789437777	
13.85	0.686046125063	2.61222075445	0.38777924555	
13.9	0.686033663851	2.61223058187	0.387769418128	
13.95	0.686021651507	2.61224006273	0.387759937272	
14.0	0.686010072937	2.61224921526	0.387750784744	
14.05	0.685998913045	2.61225805769	0.387741942308	
14.1	0.685988156737	2.61226660828	0.387733391724	
14.15	0.685977785646	2.61227486614	0.387725133857	
14.2	0.685967773944	2.61228278683	0.387717213168	
14.25	0.685958103238	2.61229036932	0.387709630683	
14.3	0.685948755682	2.61229761577	0.387702384228	
14.35	0.68593971343	2.61230452837	0.387695471631	
14.4	0.685930958638	2.61231110928	0.387688890718	
14.45	0.685922473459	2.61231736068	0.387682639318	
14.5	0.685914240049	2.61232328474	0.387676715256	
14.55	0.685906240562	2.61232888364	0.387671116361	
14.6	0.685898465423	2.61233417303	0.387665826973	
14.65	0.685890946708	2.61233923647	0.387660763531	
14.7	0.685883685499	2.612344107	0.387655892998	
14.75	0.685876676567	2.61234880736	0.387651192636	
14.8	0.68586991468	2.6123533603	0.387646639704	
14.85	0.685863394608	2.61235778854	0.387642211461	
14.9	0.685857111121	2.61236211483	0.387637885168	
14.95	0.685851058987	2.61236636192	0.387633638083	
15.0	0.685845232977	2.61237055253	0.387629447468
